Name of Establishment,Address
FAMILYHEALTH & BEAUTY CORP.,"Zone V - Bolabog, Barangay Balabag, Boracay Island, Malay, Aklan"
ROSE PHARMACY,"G/F Gaisano City, Arnaldo Boulevard, Brgy. Tanque, Roxas, Capiz"
LEDI PHARMACY ILOILO,"96 J. De Leon St., Brgy. Kauswagan, Iloilo City, Iloilo"
ROSE PHARMACY,"G/F Gasiano M.P. San Roque Ext., Brgy. VIII, Roxas, Capiz"
MERCURY DRUG,"San Roque Ext., Brgy. VIII, Roxas, Capiz"
ALISONZ PHARMACY,"Public Market, Poblacion Ilaya, Dumarao, Capiz"
NJP PHARMACY,"Stall #6, Miagao Public Market Bldg., Legaspi St., Miagao, Iloilo"
HINOLAN CLINIC PHARMACY,"Escalante City, Escalante, Negros Occidental"
Negros Grace Pharmacy,"GF A1-3, Gaisano Capital, F.C. Ledesma Ave., Brgy. Palampas, San Carlos, Negros Occidental"
SOUTH STAR DRUG,"Jalandoni Bldg., Brgy. Arguelles, Jaro, Iloilo"
PINILI DEVELOPMENT COOPERATIVE,"Sollesta St., Poblacion, New Lucena, Iloilo"
THE GENERICS PHARMACY,"G/F Main Entrance, New City Mall Dela Rama Centre, Luzuriaga St., Brgy. 12, Bacolod, Negros Occidental"
ROSE PHARMACY,"E. Lopez St., Jaro, Iloilo City, Iloilo"
NANAY'S PHARMACY,"Bldg. J Stall#3 Lapaz Public Market , Lapaz, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Del Rosario St., Balasan, Iloilo"
MERCURY DRUG,"RBV Bldg., Arnaldo Blvd., Brgy. Tanque, Roxas, Capiz"
PALMAS PHARMACY,"Ma-ao Barrio, Bago, Negros Occidental"
Botika Villaruel,"Real Street, Bularan, Banate, Iloilo"
ELVIC PHARMACY,"Rizal St., Poblacion, Barotac Viejo, Iloilo"
SOUTH STAR DRUG,"Robinsons Jaro, E. Lopez St., Brgy. San Vicente, Jaro, Iloilo City, Iloilo"
JRZ DRUGSTORE,"#780 Crossing Ubos Brgy. I-A, Manapla, Negros Occidental"
Rokia Pharmacy,"Poblacion, Carles, Iloilo"
THE GENERICS PHARMACY,"Gaisano Arcade, Arnaldo Blvd., Roxas, Capiz"
BOTICAPLUS PHARMACY,"RA Building, XIX Martyrs, Poblacion, Kalibo, Aklan"
PHARMA MED DRUGSTORE,"Lopue's Silay Building, Cinco de Noviembre St., Silay, Negros Occidental"
JALANDO-ON PHARMACY,"San Miguel, Jordan, Guimaras"
GENERIKA DRUGSTORE,"Iznart Budget Superstore Corp., Barangay Yulo-Arroyo, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Zamarli Bldg., Muyco St., Dingle, Iloilo"
THE GENERICS PHARMACY,"Lot 16-b Block 23, Brgy. Bata, Bacolod, Negros Occidental"
MERCURY DRUG,"Cor. McKinley, Dewey and Taft Sts., Brgy. III, Roxas, Capiz"
BUENO PHARMACY,"Brgy. Poblacion, Cauayan, Negros Occidental"
NEGROS GRACE PHARMACY,"Gatuslao St., Bacolod, Negros Occidental"
MERCURY DRUG,"Corner Burgos-Lacson Sts., Bacolod, Negros Occidental"
NEGROS GRACE PHARMACY,"Gatuslao St., Bacolod, Negros Occidental"
MERCURY DRUG,"Simeon Aguilar Street, Barangay Poblacion Ilawod, Passi, Iloilo City, Iloilo"
SOUTH STAR DRUG,"Robinsons Supermarket Robinsons Place Pavia Zone 02, Barangay Ungka II, Pavia, Iloilo"
FAMILYHEALTH & BEAUTY CORP.,"GF City Mall Kabankalan, Barangay Talubangi, Kabankalan, Negros Occidental"
NEGROS GRACE PHARMACY,"Lopue's Value Store Bldg., Marañon St., Brgy. Pob. II, Sagay, Negros Occidental"
THE GENERICS PHARMACY,"BJ Commercial Bldg., Poblacion Ilaya, Panay, Capiz"
SOUTH STAR DRUG,"Barangay Zone III, Cadiz, Negros Occidental"
N and E Well Pharmacy,"Purok 5, Barangay Bantayan, Kabankalan, Negros Occidental"
I S MEDICINE CORNER,"Mc Arthur Drive, Tabuc Suba, Jaro, Iloilo City, Iloilo"
GRACE MED PHARMACY,"COR. YGLESIAS-ZALDIVAR ST., BARANGAY 1, San Jose, Antique"
THE GENERICS PHARMACY,"888 China Town Mall Annex Bldg., Barangay 8, Bacolod, Negros Occidental"
JODALYN'S PHARMACY,"Tigbauan Public Market, Tigbauan, Iloilo"
GENERIKA DRUGSTORE,"2F Tower A, One Global Center Bldg., Megaworld Ave. cor. Cyber St., Iloilo Business Park, Brgy. Buhang Taft North, Mandurriao, Iloilo Business Park, Brgy. Buhang Taft North, Mandurriao, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Rizal St. cor. Monton St., Brgy. II, Himamaylan, Negros Occidental"
ELEN PEARL PHARMA,"Gatuslao St., Inayauan, Cauayan, Negros Occidental"
DYNE PHARMA AND MEDICAL SUPPLIES TRADING,"M.P. Bldg. T.A Fornier St., Brgy Atabay, San Jose, Antique"
"WATSONS PERSONAL  CARE STORES (PHILS) INC.,","G/F SM City Ioilo B. Aquino Ave., Mandurriao, Iloilo City, Iloilo"
BABE DELA CRUZ PHARMACY,"Toting Reyes St., cor. 19 Martyrs St., Brgy. Poblacion, Kalibo, Aklan"
PHARMACY OMNICARE,"ANGELA AVENUE, BALABAG, Pavia, Iloilo"
MERCURY DRUG,"Corner Araneta-Luzuriaga Streets, Barangay 13, Bacolod, Negros Occidental"
F8 Pharma Products,"t.a. fornier st., san jose, antique, Brgy. 6, San Jose, Antique"
XL PHARMACY & MEDICAL SUPPLIES,"NMA Bldg., CV Ramos Ave., Brgy. Taculing, Bacolod, Negros Occidental"
MERCURY DRUG ,"Gurrea St., La Carlota, Negros Occidental"
NEGROS GRACE PHARMACY,"Atrium Bldg., Gonzaga St., Brgy. 21, Bacolod, Negros Occidental"
RX QUEEN PHARMACY,"Quencita Bldg., E. Lopez St., Jaro, Iloilo City, Iloilo"
FARMACIA FRANCHESKA,"21 Rodriguez-Yulo St., Brgy. 36, Bacolod, Negros Occidental"
FARMACIA LEYMA,"Freedom Street, Brgy. Pob. SE Zone, Lemery, Iloilo"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"Susan Bldg. III, T.A. Fornier St., Brgy. 6, San Jose De Buenavista, Kalibo, Antique"
MEA ROSE PHARMACY,"Real Street, Poblacion, Ajuy, Iloilo"
JEE PHARMACY," L. Espeleta Street, Brgy. No. 3, Poblacion, Igbaras, Iloilo"
JINON FAMILY DRUGSTORE,"Groundfloor, Leganes Commercial Complex, Gustilo St., Brgy. Poblacion, Leganes, Iloilo"
MERCURY DRUG,"Villena St., Cadiz, Negros Occidental"
TUNER'S DRUGSTORE,"141 SIMON LEDESMA ST., BRGY. MA. CRISTINA, JARO, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"G/F Yulo Bldg. 16-08 Gatuslao St., Brgy. 12, Bacolod, Negros Occidental"
"THE SKINCARE PROFESSIONALS OF ILOILO CITY, INC.

","3rd Level, The Atrium Mall, Gen. Luna St., Iloilo City, Iloilo"
Myrn's Pharmacy,"New Site, San Miguel, Jordan, Guimaras"
MERCURY DRUG,"Rizal St., Silay, Negros Occidental"
ILOILO GRACE PHARMACY,"Gaisano Grand Mall , Brgy., Poblacion Zone II, Estancia , Iloilo, Estancia, Iloilo"
XL PHARMACY & MEDICAL SUPPLIES,"#4 Descartin Building corner AB Parreño-Galo, Barangay 20, Bacolod, Negros Occidental"
FARMACIA ALEXA,"Brgy. Poblacion, Dumalag, Capiz"
PDL PHARMACY,"Lot 6 Blk. 1, Akishola Village, Villamonte, Bacolod, Negros Occidental"
3J5N Pharmacy,"Pontevedra Public Market, Brgy. II (Pob.), Pontevedra, Negros Occidental"
FARMACIA NI DOK,"GROUND FLOOR SUNFLOWER RESORT, BRGY. BALABAG, BORACAY ISLAND, MALAY, AKLAN, N/A, Malay, Aklan"
ONEBELLSHIRE CORPORATION,"Unit 228-229 2nd Floor Del Rio 2 Bldg. BS Aquino Drive, Barangay 5, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Teresita G. Aplaon Bldg., Tan Lorenzo St., Kabankalan, Negros Occidental"
GRIN'S DRUGSTORE,"Purok Paglaum, Barangay Tabu, Ilog, Negros Occidental"
NEGROS GRACE PHARMACY,"Blk. 3, Lot 11 & 12 Fortune Towne, Brgy. Estefania, Bacolod, Negros Occidental"
FARMACIA LUCIA,"Rizal St., Ilawod, Public Market, , Pontevedra, Capiz"
STO. ROSARIO DRUGSTORE 1,"Kapitan Sabi Mabini St., Talisay, Negros Occidental"
Mercury Drug,"Northpoint, Atrium Bldg., B.S. Aquino Drive, Villamonte, Bacolod, Negros Occidental"
LIBRE PHARMACY,"Stall # A3-35, Public Market, Poblacion 3, Cadiz, Negros Occidental"
GENERAL NUTRITION CENTER (GNC) NATURAL HEALTH PHARMACY,"Level 1-Unit 90 South Wing Robinson's Place, Brgy. Mandalagan, Bacolod, Negros Occidental"
ALOHA PHARMACY,"Centro Poblacion, Culasi, Antique"
MERCURY DRUG,"San Roque Ext., Brgy. VIII, Roxas, Capiz"
GLADES PHARMACY,"Sipalay Public Market, Brgy. Poblacion, Sipalay, Negros Occidental"
MALAY MUNICIPAL PHARMACY,"Barangay Motag, Malay, Aklan"
CATICLAN DRUGSTORE,"Caticlan, Malay, Aklan"
GENERAL NUTRITION CENTER (GNC) NATURAL HEALTH PHARMACY,"EX205, North Wing, SM City Bacolod, Brgy. 12, Bacolod, Negros Occidental"
GOODY'S DRUGSTORE,"Real St., Poblacion, Patnongon, Antique"
.FORSIGHT DISTRIBUTION INC. ,"Sta. Isabelle International School, Q. Abeto, Iloilo City, Iloilo"
MERCURY DRUG,"Roanni Sisnorio & Vincent Pedrola Building (RSVP Building), F. Parcon Street, Barangay F. Parcon Ward (Poblacion), Pototan, Iloilo"
EC LUMANOG PHARMACY,"Toboso New Public Market, Toboso, Negros Occidental"
MERCURY DRUG,"SIL-GFS-4&5, Ground Floor, Gaisano Grand Mall, Rizal St., Barangay Mambulac, Silay, Negros Occidental"
MERCURY DRUG,"Units 17, 18, & 19 Ground Floor, O Residences Lacson St., Brgy. Mandalagan, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Poblacion Norte, Ivisan, Capiz"
SOUTH STAR DRUG,"Robinsons Jaro, E. Lopez St., Brgy. San Vicente, Jaro, Iloilo City, Iloilo"
"MERCURY DRUG
","Gen. Luna St., Brgy. Sampaguita, Iloilo City, Iloilo"
HEALTHY EXPRESS DRUGMART,"BURGOS ST., LAPAZ, Iloilo City, Iloilo"
I S MEDICINE CORNER,"Brgy. Tagbac, Jaro, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"ALVAREZ STREET BARANGAY ZONE 7, Pulupandan, Negros Occidental"
MERCURY DRUG,"Mabini-Libertad, Bacolod, Negros Occidental"
SUJAN'S PHARMACY,"Lot 1, Block 3, Zone 1, Margarita-Everlasting St., Bo. Obrero, Lapuz, Iloilo City, Iloilo"
PABULUM DRUGSTORE,"Yulod Drive, Brgy. Quezon, Arevalo, Iloilo City, Iloilo"
XL PHARMACY & MEDICAL SUPPLIES,"NMA BLDG., C.V. RAMOS AVE., BRGY. TACULING, Bacolod, Negros Occidental"
EDING'S DRUGSTORE,"#17 Carbajosa Street, Brgy.Suba, Calatrava, Negros Occidental"
TITO DOK ESCANLAR PHARMACY,"Mabini Street, Poblacion West, Oton, Iloilo"
ILOILO GRACE PHARMACY,"Ground Floor Robinson's Place Iloilo, cor. Quezon de Leon Sts., Iloilo City, Iloilo"
NEGROS GRACE PHARMACY,"Lopues Annex Bldg., Lacson St., Mandalagan, Bacolod, Negros Occidental"
RDP PHARMACY,"Rumbang, Pototan, Iloilo"
NEJ PHARMACY,"Barangay Sum-ag, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Lot 22 Block 1, Lucky Homes Subd., Brgy. Handumanan, Bacolod, Negros Occidental"
PHARMADOO MEDICAL GROUP INC.,"2F Westland Gateway Complex, Brgy. San Rafael, Mandurriao, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Kiosk D-20 Triangle,  Island Plaza Mall Shopping Center, B. S. Aquino Drive, Brgy. Villamonte, , Bacolod, Negros Occidental"
MERCURY DRUG,"Burgos Extension, Brgy. Villamonte, Bacolod, Negros Occidental"
FARMACIA DE SALVACION,"Rizal, San Carlos, Negros Occidental"
RACHEL'S PHARMACY,"Barangay Pojo, Bugasong, Antique"
IM4 PHARMACY,"Poblacion II, Hamtic, Antique"
MJY DRUGSTORE,"Roxas Ave., Brgy. Pob. II, Sagay, Negros Occidental"
THE GENERICS PHARMACY,"Lopue's San Sebastian Bldg., Araneta cor. San Sebastian St., Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Vicente Bldg., Lot 719 Araneta Street,  Brgy. Sum-ag, Bacolod, Negros Occidental"
3 J E DRUGSTORE,"Foodcourt Victorias Commercial Center, De Leon St., Brgy. II, Victorias, Negros Occidental"
AYIEN'S DRUGMART,"Muyco Street, Poblacion, Dingle, Iloilo"
CHME BOTIKA MART,"Corner Rodriguez -Yulo St., Purok Million Flower, Brgy. 34, Bacolod, Negros Occidental"
Chipperdome Pharma Trading,"#3 Comm Building Burgos Ave, Estefania, Bacolod, Negros Occidental"
MEDXPERT PHARMACY,"BRGY. SAN PEDRO, JARO, Iloilo City, Iloilo"
H AND S DRUG KABANKALAN,"SITIO MOJON, BARANGAY 1, Kabankalan, Negros Occidental"
RIGHT AID PHARMACY,"Barangay Jalaud Norte, Zarraga, Iloilo"
GENERIKA DRUGSTORE,"Stall No. FI-1, Sigma Public Market,  Brgy. Poblacion Norte, Sigma, Capiz"
ZRNBIOCORE INC.,"Door 1, G/F Cischo Dormitory Building, Brgy. Mabolo Delgado Street, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Mahogany Bldg., Blk 11 & 12, Magsaysay Ave., Brgy. Singcang-Airport, Bacolod, Negros Occidental"
MERCURY DRUG,"RBV Bldg., Arnaldo Blvd., Brgy. Tanque, Roxas, Capiz"
The Generics Pharmacy,"Felisa Rd. and Cattleya St. Paghidaet, Barangay Mansilingan, Bacolod, Negros Occidental"
MERCURY DRUG,"Roxas Avenue, Kalibo, Aklan"
FAMILYHEALTH & BEAUTY CORP.,"GF City Mall Jaro, McArthur Highway, Brgy. Tagbak, Jaro, Iloilo City, Iloilo"
NEGROS GRACE PHARMACY,"Capt. Sabi St., Brgy. Zone 4-A, Talisay, Negros Occidental"
MERCURY DRUG,"Immaculate Heart of Mary Avenue, Pueblo De Panay, Brgy. Lawa-an, Roxas, Capiz"
Farmacia Natividad,"Rodillado Building, Provincial HIghway, Brgy. Rumbang , Pototan, Iloilo"
NEGROS GRACE PHARMACY,"Lopez Jaena St., Brgy. 1, Pob., Hinigaran, Negros Occidental"
PALMES PHARMACY,"Palmes Bldg., Luna St., Brgy. San Nicolas, Lapaz, Iloilo City, Iloilo"
SOUTH STAR DRUG,"Robinsons Place Roxas, Pueblo De Panay, Brgy. Lawa-an, Roxas, Capiz"
KHRYSNA PHARMACY,"Poblacion, Caluya, Antique"
GENERIKA DRUGSTORE,"MLT, Bldg. Unit 2, Minglanilla St., Brgy. Suba, Calatrava, Calatrava, Negros Occidental"
E .V. Z. PHARMACY,"Q. Abeto St., Mandurriao, Iloilo City, Iloilo"
MERCURY DRUG,"Gustilo St., San Carlos, Negros Occidental"
SOUTHSTAR DRUG ,"Araneta Alunan Streets Purok Sunshine, Barangay 36, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Barangay Poblacion, Carles, Iloilo"
FARMACIA STA. ELENA,"Teresa Magbanua  St., Pototan, Pototan, Iloilo"
"FAMILYHEALTH & BAUTY CORP.,","Cor. Circumferencial Road and Burgos St., Brgy. Villamonte, Bacolod, Negros Occidental"
SUPER K DRUG VII,"Estancia, Estancia, Iloilo"
NAZ PHARMA,"Felix Gorriceta Jr. Avenue, Brgy. Aganan, Pavia, Iloilo"
PABULUM DRUGSTORE,"YULO DRIVE, BARANGAY QUEZON AREVALO, Iloilo City, Iloilo"
"ST. MARINA KIDNEY & MEDICAL SPECIALTY PHARMACY, INC.","Door#3, J&E Bldg., B.S. Aquino Drive, Brgy. 5, Bacolod, Negros Occidental"
ADN PHARMACY,"Brgy. Poblacion, Batad, Iloilo"
WVCS PHARMACY,"Leganes Public Market, Leganes, Iloilo"
ADN PHARMACY,"Brgy. Poblacion, Batad, Iloilo"
FAMILYHEALTH & BEAUTY CORP.,"GF Savemore Supermarket, Rizal St., Silay, Negros Occidental"
RM DIABETES HEALTH OPTIONS (PHARMACY),"Unit 2 G/F Nord Medical Hub, 101 B.S. Aquino Drive, Brgy. Villamonte, Bacolod, Negros Occidental"
CABANAS DRUGSTORE,"Brgy. 1, Ilog, Negros Occidental"
FARMACIA DELA CRUZ,"Roxas Ave. Ext, Kalibo, Aklan"
M.G. Generics Pharmacy,"Ibajay Public Market, Dalisay Street, Poblacion, Ibajay, Aklan"
MAGDALENA MULTI-PURPOSE COOPERATIVE (MAM-PC),"Magdalena, Anini-y, Antique"
FAMILYHEALTH & BEAUTY CORP.,"GF SM City Bacolod North Wing, Brgy. 12 Poblacion, Reclamation Area, Bacolod, Negros Occidental"
FARMACIA BENJAMIN 1,"Roxas Avenue, Roxas, Capiz"
NEGROS GRACE PHARMACY,"Prince Hypermart, Brgy. II-Poblacion, Himamaylan, Negros Occidental"
GRACE PHARMACY,"Space G64, Ayala Malls Capitol Central, Barangay 8, Bacolod, Negros Occidental"
AGUIRRE DRUGSTORE,"National Road, President Roxas, Capiz"
THE GENERICS PHARMACY,"Amar Emporium, 168 Bldg., San Antonio, Brgy. Sum-ag, Bacolod, Negros Occidental"
MERCURY DRUG,"Bypass Road, Brgy. San Sebastian, Santa Barbara, Iloilo"
NEGROS GRACE PHARMACY,"Northpoint Bldg., B.S. Aquino Drive, Bacolod, Negros Occidental"
"WATSONS PERSONAL CARE STORES (PHILS) INC.,","SM Delgado cor. Valeria-Delgado Sts., Iloilo City, Iloilo"
MERCURY DRUG,"Barangay CC EL, 98 St., Jaro, Iloilo City, Iloilo"
DIVINE PROVIDER PHARMACY,"Brgy. Poblacion Ilaud, Zarraga, Iloilo"
THE GENERICS PHARMACY,"E. Reyes Avenue, Poblacion, Zone 2, Estancia, Iloilo"
MERCURY DRUG,"Gen. Luna St., Brgy. Sampaguita, Iloilo City, Iloilo"
ROSE PHARMACY,"Room 102, G/F Maryville Bldg., Delgado St., Iloilo City, Iloilo"
SOUTH STAR DRUG,"Robinson's Supermarket Roxas, Robinson's Place Roxas, Pueblo De-Panay, Brgy. Lawa-an, Roxas, Capiz"
SUPER K DRUG - XVII,"Public Market, Pob. Tabuc, Mambusao, Capiz"
NEGROS GRACE PHARMACY,"Blk. DMC-C, Dry Market, Murcia Tinabuay Market, Murcia, Negros Occidental"
THE GENERICS PHARMACY,"Corner San Juan-Rizal Sts., Bacolod, Negros Occidental"
"PUREGOLD PRICE CLUB, INC.","Guanzon Street, Barangay 3, Kabankalan, Negros Occidental"
BOTIKANG PINOY INC.,"CORNER E. LOPEZ & DEL CARMEN STS., JARO, ILOILO CITY, Iloilo City, Iloilo"
3M Pharmacy,"Stall #2, Building 1, Public Market, Barangay Poblacion, Buruanga, Aklan"
GBX PHARMACY,"Binalbagan Public Market, Don Pedro Yulo St., Brgy. San Pedro, Binalbagan, Negros Occidental"
RX TRADE DRUGSTORE,"Sitio Carmen Sian, Hda Fe, Escalante, Negros Occidental"
FAMILYHEALTH & BEAUTY CORP.,"Zone I – GF City Mall, Din-Iwid, Brgy. Balabag, Boracay Island, Malay, Aklan"
MERCURY DRUG,"HDH Merchandising Building, Zone II, Barangay Aganan, Pavia, Iloilo"
FOURMULA 1 + BOTIKA NG BAYAN (F1+BNB),"Brgy. Poblacion (Centro), Laua-an, Antique"
PIROTE PHARMACY,"Door 3 1st Floor Lorelli's Dormitory corner E. Lopez-San Vicente Sts., Jaro, Iloilo City, Iloilo"
BARTELL DRUGSTORE,"Q. ABETO ST., MANDURRIAO, BRGY Q. ABETO MIRASOL TAFT SOUTH (QUIRINO ABETO), ILOILO CITY, Iloilo City, Iloilo"
MERCURY DRUG,"Mabini St., Brgy. Osmeña, Iloilo City, Iloilo"
A & M MEDCARE PRODUCT DISTRIBUTORS,"5th Lacson Street, Barangay 17, Bacolod, Negros Occidental"
MEDS4LESS PHARMA INC.,"Room 106 VLI Medical Plaza, Bacolod, Negros Occidental"
. BASELINE PHARMA CORP. ,"G/F Units 2 & 3, SRDCI Bldg., Libertad Extension, Barangay Taculing, Bacolod City, Bacolod, Negros Occidental"
NEGROS GRACE PHARMACY,"Lopues Annex Bldg., Lacson St., Mandalagan, Bacolod, Negros Occidental"
DISTRIPHIL PHARMACY,"Fast Logistics Warehouse Compound, Brgy. Lapuz Norte, Lapuz, Iloilo City, Iloilo"
MILAJUN DRUGSTORE,"MALUNDA ST., POB. ILAWOD, Cuartero, Capiz"
CDK PHARMACY,"Barangay Atabay, San Jose, Antique"
BABE DELA CRUZ PHARMACY,"Poblacion, Banga, Aklan"
ROSE PHARMACY,"Rep. Salazar St., Barangay 5, San Jose, Antique"
SOUTH STAR DRUG,"Robinsons Supermarket Robinsons Place Pavia Zone 02, Barangay Ungka II, Pavia, Iloilo"
SOUTH STAR DRUG,"Robinsons Supermarket Robinsons Place Pavia Zone 02, Barangay Ungka II, Pavia, Iloilo"
NEGROS GRACE PHARMACY,"Metro Plaza, Bacolod, Negros Occidental"
978 PHARMACY,"Roxas Street, Brgy. Pob. II, Sagay, Negros Occidental"
BACTING PHARMACY,"Barangay Poblacion, Banate, Iloilo"
TRES NIÑAS PHARMACY,"Poblacion VII (Barangay VII), Roxas, Capiz"
Botika ng Bayan,"Rizal Street, Guimbal, Iloilo"
JUAN MEDSTOP SHOP,"No. 16 C.V. Ramos avenue, Brgy. Taculing, Bacolod, Negros Occidental"
COLLIN'S PHARMACY,"Guanzon Street, Barangay 5, Kabankalan, Negros Occidental"
Negros Grace Pharmacy,"Lopue's Value Store Bldg., Marañon St., Pob. II, Sagay, Negros Occidental"
THE GENERICS PHARMACY,"Felisa Rd. and Cattleya St. Paghidaet, Barangay Mansilingan, Bacolod, Negros Occidental"
MTR PHARMACY,"Capt. Sabi Street, Brgy. Zone 12, Talisay, Negros Occidental"
DAILYMED PHARMACY ,"Barangay Dancalan, Ilog, Negros Occidental"
SILAY ST. MARY'S DRUGSTORE,"Bldg. 2, Public Market, Gomez St., Silay, Negros Occidental"
THE GENERICS PHARMACY,"Rizal St., Ilawod, Pontevedra, Capiz"
RIGHT AID PHARMACY,"JALAUD NORTE, Zarraga, Iloilo"
MERCURY DRUG,"La Estrella Bldg., Roxas Avenue Extension, Brgy. Andagao, Kalibo, Aklan"
THE GENERICS PHARMACY,"R. Tabiana St., Brgy. Poblacion, Leon, Iloilo"
GENERIKA DRUGSTORE,"Poblacion, Banga, Aklan"
ROSE PHARMACY,"E. Lopez St. corner Javellana, Jaro, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"G/F Solanoy Carillo Fuerte Bldg., Roxas Ave. Ext., Andagao, , Kalibo, Aklan"
Farmacia Ni Dok,"Ambulong North, Manocmanoc, Malay, Aklan"
"MEDFLEXX PHARMACY
","Block 8 Lot 32&34 Providencia Subd, Barangay Ajilis, Bacolod, Negros Occidental"
MERCURY DRUG,"Araneta St., Purok San Miguel, Brgy. Sum-ag, Bacolod, Negros Occidental"
DM & 3J'S PHARMACY,"Fenete St., District III, Sibalom, Antique"
Mercury Drug,"HDH Merchandising Bldg., Zone II, Brgy. Aganan, Pavia, Iloilo"
GENERIKA DRUGSTORE,"Fenete St., District III, Sibalom, Antique"
NEGROS GRACE PHARMACY,"Corner Hernaez-Dela Rama City Heights Subd., Brgy. Taculing, Bacolod, Negros Occidental"
MERCURY DRUG,"Jose Alba Building, Mabini St., Barangay Poblacion, Kalibo, Aklan"
JHIME PHARMACY,"Muyco St., Dingle, Iloilo"
THE GENERICS PHARMACY,"Alvarez Street, Brgy.  Zone 7, Pulupandan, Negros Occidental"
NEGROS GRACE PHARMACY,"B.S. Aquino Drive, Capitol Shopping Center, Villamonte, Bacolod, Negros Occidental"
GENERIKA DRUGSTORE,"Zone VI-Balabag Ext., Boracay Island, Malay, Aklan"
GENERIKA DRUGSTORE,"Brgy. Zone III ,Villena St., Cadiz, Negros Occidental"
NEGROS GRACE PHARMACY,"Burgos-Hilado Streets, Bacolod, Negros Occidental"
GCare Drugstore,"Zone 4, Sambag Jaro, Iloilo City, Iloilo"
MERCURY DRUG,"Roxas Avenue corner L. Barrios Street, Poblacion, Kalibo, Aklan"
TRI-O PHARMA,"Brgy. Atabay, San Jose De Buenavista, San Jose , San Jose, Antique"
SINCERE DRUGSTORE ,"Burgos St., Brgy. 17, Bacolod, Negros Occidental"
SOUTH STAR DRUG ,"Robinson's Supermarket Bacolod, Lacson St., , Brgy. Mandalagan, Bacolod, Negros Occidental"
DCS PHARMACY,"Purok Mangga, Brgy. Tabugon, Kabankalan, Negros Occidental"
SUPER K DRUG-XIX,"Villa Rica Business Park, Brgy. Banica, Roxas, Capiz"
NANING PHARMACY,"Villareal Highway,Pob. Tabuc, Mambusao, Capiz"
HQ CURE CENTER CORPORATION,"J.C. Zulueta St., Poblacion South, Oton, Iloilo"
"ANGELO ADENO PHARMACY, MEDICAL AND LABORATORY SERVICES","Orbe St., Brgy. Baybay Norte, Miagao, Iloilo"
Negros Grace Pharmacy,"Corner Hernaez-Dela Rama City Heights Subd., Brgy. Taculing, Bacolod, Negros Occidental"
ACE G PHARMACY,"Cecilio Tady St., Brgy. Poblacion, Sara, Iloilo"
G & C MEDICINE CENTER,"Phase IV D' Mall D' Boracay, Balabag, Boracay Island, Malay, Aklan"
MERCURY DRUG,"La Estrella Bldg., Roxas Avenue Extension, Brgy. Andagao, Kalibo, Aklan"
SSG PHARMACY ,"Rizal Ilawod St., Zone 1, Cabatuan, Iloilo"
MEDI SHOPPE PHARMACY CO.,"4th St., Lawaan Subd., Brgy. Balantang, Jaro, Iloilo City, Iloilo"
FASTLANE DRUGSTORE & MEDICAL CLINIC ,"2-C Lopez Jaena St., Brgy. San Isidro Jaro, Iloilo City, Iloilo"
COSTCO MEDICINE SHOPPE,"Iznart St., Iloilo City, Iloilo"
J. BELUSO DRUGSTORE,"Golden Paragon Mall, Brgy. Libot, Calinog, Iloilo"
THE GENERICS PHARMACY,"Gaisano City, Brgy. Singcang - Airport, Bacolod, Negros Occidental"
AEROSE DRUGSTORE,"Poblacion 2, Hamtic, Antique"
Jan Januz Pharmacy,"Barangay 3, Poblacion, Tigbauan, Iloilo, Tigbauan, Iloilo"
"FAMILYHEALTH & BEAUTY CORP.,","Supermarket Area, Savemore Market GT Town Center, Pavia, Zone 02, Barangay Ungka II, Pavia, Iloilo"
THE GENERICS PHARMACY,"Zamora St. , Barotac Nuevo, Iloilo"
MEDIGREEN DRUGSTORE,"Nueva Street, Poblacion, Tibiao, Antique"
NEGROS GRACE PHARMACY,"Metro Plaza, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"Mahogany Bldg., Blk 11 & 12, Magsaysay Ave., Brgy. Singcang-Airport, Bacolod, Negros Occidental"
BLANCAFLOR DRUGSTORE,"Rizal St., Barangay 4, Himamaylan, Negros Occidental"
GEBIX PHARMA  PRODUCTS MARKETING ,"Brgy. Tabucan ,  , Barotac Nuevo, Iloilo"
FARMACIA JVI,"Advincula Building, Mabini St., Poblacion, Kalibo, Aklan"
THE GENERICS PHARMACY,"Door #3 Lot 11600A Montelibano St., Granada, Bacolod, Negros Occidental"
MAREC'S PHARMACY,"Blk. 5 Bldg. 1 Burgos St., Brgy. II, Silay, Negros Occidental"
THE GENERICS PHARMACY,"Rivero St., Takas, Valderrama, Antique"
